Average of Mean air temperature [ÁC],
10/6/16,6.10
10/7/16,7.80
10/8/16,7.00
10/9/16,6.50
10/10/16,5.20
10/11/16,4.90
10/12/16,5.00
10/13/16,5.30
10/14/16,8.60
10/15/16,12.30
10/16/16,11.20
10/17/16,10.40
10/18/16,10.40
10/19/16,8.40
10/20/16,7.70
10/21/16,5.60
10/22/16,5.50
10/23/16,5.70
10/24/16,12.00
10/25/16,11.70
10/26/16,9.90
10/27/16,6.50
10/28/16,5.70
10/29/16,7.60
10/30/16,5.50
10/31/16,6.40
11/1/16,3.50
11/2/16,6.50
11/3/16,3.10
11/4/16,2.30
11/5/16,8.80
11/6/16,3.30
11/7/16,1.20
11/8/16,0.30
11/9/16,1.50
11/10/16,4.60
11/11/16,3.20
11/12/16,0.50
11/13/16,-1.30
11/14/16,-2.10
11/15/16,1.70
11/16/16,7.30
11/17/16,8.30
11/18/16,8.10
11/19/16,4.80
11/20/16,2.60
11/21/16,7.30
11/22/16,8.90
11/23/16,5.30
11/24/16,4.80
11/25/16,5.10
11/26/16,5.30
11/27/16,4.60
11/28/16,-1.20
11/29/16,-3.80
11/30/16,-1.80
12/1/16,2.60
12/2/16,2.30
12/3/16,-1.60
12/4/16,-2.70
12/5/16,-3.00
12/6/16,-2.90
12/7/16,-3.40
12/8/16,-1.50
12/9/16,1.60
12/10/16,1.20
12/11/16,2.40
12/12/16,2.90
12/13/16,-0.60
12/14/16,2.70
12/15/16,1.20
12/16/16,0.10
12/17/16,-1.60
12/18/16,0.30
12/19/16,0.20
12/20/16,-1.80
12/21/16,-2.30
12/22/16,-2.40
12/23/16,0.60
12/24/16,4.60
12/25/16,6.70
12/26/16,8.00
12/27/16,1.80
12/28/16,1.60
12/29/16,-1.20
12/30/16,-4.70
12/31/16,-4.40
(blank),
Grand Total,9.16
